00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4355,19.7915,36.963,38.929,35.373,39.2625,39.708,39.7695,38.1525,32.918,22.981,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6875,33.804,38.1955,40.071,40.7735,35.53,32.14,17.371,38.4475,33.389,21.2875,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.572,32.8245,37.747,39.839,38.5875,39.548,40.109,32.1945,34.7445,4.566,11.7585,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1265,34.0485,37.6665,39.7135,40.0085,38.0805,30.915,36.9515,25.562,5.055,17.217,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.623,14.489,30.7515,34.425,34.835,27.689,3.796,2.303,5.7675,3.8395,14.742,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3365,28.314,32.8825,33.1755,33.4745,31.491,6.0055,21.905,23.496,31.586,0.282,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.326,6.1225,33.987,25.36,33.71,35.645,32.3035,17.5915,17.9465,5.59,13.7135,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,19.6705,23.14,31.6865,33.1035,29.55,31.97,2.3725,1.6135,3.235,0.3665,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.851,15.633,35.3335,36.584,40.0805,37.699,31.6615,25.9355,35.475,0.7915,1.246,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4795,9.0715,19.651,25.885,32.0355,36.2775,26.3595,24.494,37.0405,34.568,13.495,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.442,29.09,35.928,38.708,39.929,40.1395,39.9875,39.136,36.988,32.132,2.1645,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298,12.0295,7.7785,33.919,37.888,38.4585,37.1165,10.265,29.411,33.187,24.7905,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7675,26.804,34.654,37.6645,38.6865,33.966,4.6305,24.2595,35.8055,34.583,25.214,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,3.1705,22.801,35.49,35.1185,29.2305,25.731,26.494,3.2545,3.4055,0.73,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.007,36.023,39.8125,40.6935,40.2415,36.309,35.6335,27.253,32.653,35.751,21.586,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2445,33.6075,36.027,28.8,39.5155,38.0705,30.9085,28.96,32.729,34.9805,27.3455,0.0,0.0,0.0,0.0,0.0
